"","Tag_Num","t1","t2","t5","t6","t8","t9"
"1","Y0002",1,0,0,0,0,0
"2","Y0003",1,2,0,0,0,0
"3","Y0004",1,0,0,0,0,0
"4","Y0005",1,0,0,0,0,0
"5","Y0006",1,0,0,0,0,0
"6","Y0008",1,0,0,0,0,0
"7","Y0009",1,0,0,0,0,0
"8","Y0010",1,0,0,0,0,0
"9","Y0012",1,0,0,0,0,0
"10","Y0014",1,0,0,0,0,0
"11","Y0015",1,0,0,0,0,0
"12","Y0016",1,0,0,0,0,0
"13","Y0017",1,0,0,0,0,0
"14","Y0019",1,0,0,0,0,0
"15","Y0020",1,0,0,0,0,0
"16","Y0022",1,0,0,0,0,0
"17","Y0023",1,0,0,0,0,0
"18","Y0024",1,0,0,0,0,0
"19","Y0025",1,0,0,0,0,0
"20","Y0029",1,0,0,0,0,0
"21","Y0030",1,0,0,0,0,0
"22","Y0033",1,0,0,0,0,0
"23","Y0034",1,0,0,0,0,0
"24","Y0035",1,0,0,0,0,0
"25","Y0036",1,0,0,0,0,0
"26","Y0104",1,0,0,0,8,0
"27","Y0149",1,0,0,0,8,0
"28","Y0157",1,0,0,0,8,0
"29","Y0160",1,0,0,0,0,9
"30","Y0184",1,0,0,0,8,0
"31","Y0195",1,0,0,0,8,0
"32","Y0239",1,0,0,0,0,9
"33","Y0289",1,0,0,0,0,9
