DeployDate,DeployTime,RetrieveDate,RetrieveTime,TrapNumber,Species,Sex,CWid_LR_mm,CLeng_AP_mm,Weight_lb,Weight_calc_kg,Keep_Release_Dead,Tag_YNNew,Tag_Num,Notes
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,M,173,121,3.0,1.3,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,F,111,80,0.6,0.3,Release,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,F,165,115,2.7,1.2,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,M,178,126,3.6,1.6,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,M,174,119,3.1,1.4,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,M,176,122,3.2,1.4,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,M,168,115,2.2,1.0,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T6,Scylla_serrata,M,83,58,0.3,0.1,Release,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T3,Scylla_serrata,M,167,114,2.7,1.2,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T3,Scylla_serrata,M,186,127,3.8,1.7,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T3,Scylla_serrata,M,170,119,na,na,Dead,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T3,Scylla_serrata,NA,100,na,na,na,Dead,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T3,Scylla_serrata,M,110,79,0.7,0.3,Release,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T2,Scylla_serrata,M,157,108,2.2,1.0,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T2,Scylla_serrata,M,179,123,3.9,1.8,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T1,Scylla_serrata,M,156,106,1.9,0.9,Release,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T1,Scylla_serrata,F,175,121,2.0,0.9,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T5,Scylla_serrata,M,161,110,2.1,1.0,Release,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T5,Scylla_serrata,M,181,124,3.4,1.6,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T5,Scylla_serrata,M,167,115,2.8,1.3,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T5,Scylla_serrata,M,112,77,na,na,Release,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T5,Scylla_serrata,M,194,130,4.1,1.9,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T4,Scylla_serrata,F,200,141,2.8,1.3,Keep,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T4,Scylla_serrata,F,153,107,1.4,0.6,Release,No,na,
6-Mar-2017,4:15 PM,7-Mar-2017,7:25 AM,T4,Scylla_serrata,M,145,100,1.5,0.7,Release,No,na,
