"simID","Fec 11-60","Fec 61-80","Fec 81-100","Fec 101-120","Fec 121-140","Fec 141-160","Fec 161-180","Fec 181-211","Fec 212+","Surv 11-60","Surv 61-80","Surv 81-100","Surv 101-120","Surv 121-140","Surv 141-160","Surv 161-180","Surv 181-211","Surv 212+"
1,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5358,0.5358,0.5358,0.5358,0.5358,0.532544444444444,0.537422222222222,0.537411111111111
2,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.560807142857143,0.560807142857143,0.560807142857143,0.560807142857143,0.560807142857143,0.557414285714286,0.562514285714286,0.562507142857143
3,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5568,0.5568,0.5568,0.5568,0.5568,0.553425,0.558483333333333,0.558483333333333
4,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5206375,0.5206375,0.5206375,0.5206375,0.5206375,0.517475,0.522225,0.5221875
5,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.54265,0.54265,0.54265,0.54265,0.54265,0.53936,0.54431,0.54428
6,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.536733333333333,0.536733333333333,0.536733333333333,0.536733333333333,0.536733333333333,0.533477777777778,0.538355555555556,0.538355555555556
7,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.554508333333333,0.554508333333333,0.554508333333333,0.554508333333333,0.554508333333333,0.55115,0.5562,0.556175
8,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.56338,0.56338,0.56338,0.56338,0.56338,0.559966666666667,0.565086666666667,0.565086666666667
9,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.563366666666667,0.563366666666667,0.563366666666667,0.563366666666667,0.563366666666667,0.559946666666667,0.565086666666667,0.565066666666667
10,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.561671428571429,0.561671428571429,0.561671428571429,0.561671428571429,0.561671428571429,0.558264285714286,0.563385714285714,0.563371428571429
11,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.559161538461538,0.559161538461538,0.559161538461538,0.559161538461538,0.559161538461538,0.555761538461538,0.560861538461538,0.560846153846154
12,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.558438461538462,0.558438461538462,0.558438461538462,0.558438461538462,0.558438461538462,0.555046153846154,0.560130769230769,0.560123076923077
13,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5220375,0.5220375,0.5220375,0.5220375,0.5220375,0.5188625,0.523625,0.5236125
14,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.565426666666667,0.565426666666667,0.565426666666667,0.565426666666667,0.565426666666667,0.561993333333333,0.567153333333333,0.567133333333333
15,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.547281818181818,0.547281818181818,0.547281818181818,0.547281818181818,0.547281818181818,0.543963636363636,0.548945454545455,0.548945454545455
16,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5244375,0.5244375,0.5244375,0.5244375,0.5244375,0.5212625,0.526025,0.5260125
17,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.499,0.499,0.499,0.499,0.499,0.495971428571429,0.500514285714286,0.5005
18,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5587,0.5587,0.5587,0.5587,0.5587,0.555307692307692,0.560392307692308,0.560392307692308
19,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.563106666666667,0.563106666666667,0.563106666666667,0.563106666666667,0.563106666666667,0.559693333333333,0.56482,0.564813333333333
20,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.562585714285714,0.562585714285714,0.562585714285714,0.562585714285714,0.562585714285714,0.559171428571429,0.564292857142857,0.564285714285714
21,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.553566666666667,0.553566666666667,0.553566666666667,0.553566666666667,0.553566666666667,0.550208333333333,0.555241666666667,0.555241666666667
22,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.548554545454546,0.548554545454546,0.548554545454546,0.548554545454546,0.548554545454546,0.545218181818182,0.550209090909091,0.550209090909091
23,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.51825,0.51825,0.51825,0.51825,0.51825,0.5151,0.519825,0.5198125
24,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.500271428571429,0.500271428571429,0.500271428571429,0.500271428571429,0.500271428571429,0.497242857142857,0.5018,0.501785714285714
25,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.54192,0.54192,0.54192,0.54192,0.54192,0.53863,0.54356,0.54356
26,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5553,0.5553,0.5553,0.5553,0.5553,0.551925,0.556975,0.556975
27,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.555375,0.555375,0.555375,0.555375,0.555375,0.552008333333333,0.557075,0.557058333333333
28,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.555058333333333,0.555058333333333,0.555058333333333,0.555058333333333,0.555058333333333,0.5517,0.55675,0.55675
29,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.551672727272727,0.551672727272727,0.551672727272727,0.551672727272727,0.551672727272727,0.548327272727273,0.553345454545454,0.553345454545454
30,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.537011111111111,0.537011111111111,0.537011111111111,0.537011111111111,0.537011111111111,0.533733333333333,0.538633333333333,0.538622222222222
31,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5085,0.5085,0.5085,0.5085,0.5085,0.5054,0.510028571428571,0.510014285714286
32,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.496685714285714,0.496685714285714,0.496685714285714,0.496685714285714,0.496685714285714,0.493685714285714,0.4982,0.498185714285714
33,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.5237125,0.5237125,0.5237125,0.5237125,0.5237125,0.5205375,0.5253125,0.5252875
34,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.561542857142857,0.561542857142857,0.561542857142857,0.561542857142857,0.561542857142857,0.558128571428571,0.563242857142857,0.563235714285714
35,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.536722222222222,0.536722222222222,0.536722222222222,0.536722222222222,0.536722222222222,0.533466666666667,0.538355555555556,0.538344444444444
36,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.508471428571429,0.508471428571429,0.508471428571429,0.508471428571429,0.508471428571429,0.5054,0.510028571428571,0.510014285714286
37,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.550809090909091,0.550809090909091,0.550809090909091,0.550809090909091,0.550809090909091,0.547472727272727,0.5525,0.552472727272727
38,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.54515,0.54515,0.54515,0.54515,0.54515,0.54185,0.5468,0.5468
39,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.565153333333333,0.565153333333333,0.565153333333333,0.565153333333333,0.565153333333333,0.56172,0.566866666666667,0.56686
40,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.52505,0.52505,0.52505,0.52505,0.52505,0.5218625,0.52665,0.526625
41,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.551263636363636,0.551263636363636,0.551263636363636,0.551263636363636,0.551263636363636,0.547918181818182,0.552927272727273,0.552918181818182
42,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.564373333333333,0.564373333333333,0.564373333333333,0.564373333333333,0.564373333333333,0.560946666666667,0.566086666666667,0.566086666666667
43,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.4985,0.4985,0.4985,0.4985,0.4985,0.495485714285714,0.500014285714286,0.5
44,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.549518181818182,0.549518181818182,0.549518181818182,0.549518181818182,0.549518181818182,0.546181818181818,0.551181818181818,0.551163636363636
45,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.564946666666667,0.564946666666667,0.564946666666667,0.564946666666667,0.564946666666667,0.561513333333333,0.566673333333333,0.566653333333333
46,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.564986666666667,0.564986666666667,0.564986666666667,0.564986666666667,0.564986666666667,0.561553333333333,0.566693333333333,0.566693333333333
47,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.551109090909091,0.551109090909091,0.551109090909091,0.551109090909091,0.551109090909091,0.547763636363636,0.552781818181818,0.552772727272727
48,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.559184615384615,0.559184615384615,0.559184615384615,0.559184615384615,0.559184615384615,0.555792307692308,0.560884615384615,0.560876923076923
49,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.534366666666667,0.534366666666667,0.534366666666667,0.534366666666667,0.534366666666667,0.531122222222222,0.535988888888889,0.535966666666667
50,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.503342857142857,0.503342857142857,0.503342857142857,0.503342857142857,0.503342857142857,0.5003,0.504871428571429,0.504871428571429
51,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.564866666666667,0.564866666666667,0.564866666666667,0.564866666666667,0.564866666666667,0.56144,0.566586666666667,0.566573333333333
52,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.5197875,0.5197875,0.5197875,0.5197875,0.5197875,0.5166375,0.521375,0.52135
53,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.558653846153846,0.558653846153846,0.558653846153846,0.558653846153846,0.558653846153846,0.555261538461538,0.560346153846154,0.560330769230769
54,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.548154545454545,0.548154545454545,0.548154545454545,0.548154545454545,0.548154545454545,0.544818181818182,0.549818181818182,0.549809090909091
55,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5417,0.5417,0.5417,0.5417,0.5417,0.53843,0.54335,0.54334
56,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.5003,0.5003,0.5003,0.5003,0.5003,0.497257142857143,0.501814285714286,0.5018
57,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.562935714285714,0.562935714285714,0.562935714285714,0.562935714285714,0.562935714285714,0.559514285714286,0.56465,0.564635714285714
58,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.562142857142857,0.562142857142857,0.562142857142857,0.562142857142857,0.562142857142857,0.558728571428571,0.563857142857143,0.56385
59,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.558830769230769,0.558830769230769,0.558830769230769,0.558830769230769,0.558830769230769,0.555438461538462,0.560530769230769,0.560515384615385
60,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.5615,0.5615,0.5615,0.5615,0.5615,0.558092857142857,0.563207142857143,0.5632
61,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.554358333333333,0.554358333333333,0.554358333333333,0.554358333333333,0.554358333333333,0.551,0.556041666666667,0.556033333333333
62,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.505142857142857,0.505142857142857,0.505142857142857,0.505142857142857,0.505142857142857,0.502071428571429,0.506671428571429,0.506657142857143
63,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5581,0.5581,0.5581,0.5581,0.5581,0.554715384615385,0.559792307692308,0.559792307692308
64,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.559692307692308,0.559692307692308,0.559692307692308,0.559692307692308,0.559692307692308,0.5563,0.561392307692308,0.561392307692308
65,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.509428571428571,0.509428571428571,0.509428571428571,0.509428571428571,0.509428571428571,0.506342857142857,0.510971428571429,0.510957142857143
66,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.565326666666667,0.565326666666667,0.565326666666667,0.565326666666667,0.565326666666667,0.5619,0.567046666666667,0.567033333333333
67,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.56542,0.56542,0.56542,0.56542,0.56542,0.561993333333333,0.567133333333333,0.567133333333333
68,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.555883333333333,0.555883333333333,0.555883333333333,0.555883333333333,0.555883333333333,0.552508333333333,0.557575,0.55755
69,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.535622222222222,0.535622222222222,0.535622222222222,0.535622222222222,0.535622222222222,0.532377777777778,0.537255555555555,0.537233333333333
70,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.532366666666667,0.532366666666667,0.532366666666667,0.532366666666667,0.532366666666667,0.529133333333333,0.533988888888889,0.533988888888889
71,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.535788888888889,0.535788888888889,0.535788888888889,0.535788888888889,0.535788888888889,0.532533333333333,0.537411111111111,0.537388888888889
72,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5529,0.5529,0.5529,0.5529,0.5529,0.549541666666667,0.554566666666667,0.554566666666667
73,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.54465,0.54465,0.54465,0.54465,0.54465,0.54135,0.54632,0.5463
74,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.5218125,0.5218125,0.5218125,0.5218125,0.5218125,0.5186625,0.5234125,0.5233875
75,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.507057142857143,0.507057142857143,0.507057142857143,0.507057142857143,0.507057142857143,0.503985714285714,0.5086,0.508585714285714
76,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.558253846153846,0.558253846153846,0.558253846153846,0.558253846153846,0.558253846153846,0.554861538461538,0.559938461538461,0.559930769230769
77,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.5244375,0.5244375,0.5244375,0.5244375,0.5244375,0.5212625,0.5260375,0.5260125
78,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.565193333333333,0.565193333333333,0.565193333333333,0.565193333333333,0.565193333333333,0.56176,0.566906666666667,0.5669
79,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5190375,0.5190375,0.5190375,0.5190375,0.5190375,0.5159,0.5206125,0.5206125
80,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5199,0.5199,0.5199,0.5199,0.5199,0.51675,0.5214875,0.521475
81,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5514,0.5514,0.5514,0.5514,0.5514,0.548054545454545,0.553072727272727,0.553063636363636
82,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.508985714285714,0.508985714285714,0.508985714285714,0.508985714285714,0.508985714285714,0.505914285714286,0.510528571428571,0.510528571428571
83,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.502714285714286,0.502714285714286,0.502714285714286,0.502714285714286,0.502714285714286,0.499685714285714,0.504257142857143,0.504242857142857
84,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.533533333333333,0.533533333333333,0.533533333333333,0.533533333333333,0.533533333333333,0.5303,0.535155555555555,0.535155555555555
85,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.554225,0.554225,0.554225,0.554225,0.554225,0.550858333333333,0.555908333333333,0.555891666666667
86,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.554358333333333,0.554358333333333,0.554358333333333,0.554358333333333,0.554358333333333,0.550983333333333,0.556033333333333,0.556025
87,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.561542857142857,0.561542857142857,0.561542857142857,0.561542857142857,0.561542857142857,0.558128571428571,0.56325,0.563235714285714
88,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.503428571428571,0.503428571428571,0.503428571428571,0.503428571428571,0.503428571428571,0.500371428571429,0.504957142857143,0.504914285714286
89,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.558846153846154,0.558846153846154,0.558846153846154,0.558846153846154,0.558846153846154,0.555461538461538,0.560546153846154,0.560538461538462
90,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.561321428571429,0.561321428571429,0.561321428571429,0.561321428571429,0.561321428571429,0.557907142857143,0.563028571428571,0.563014285714286
