"simID","Us","tc"
1,0.9,0
1,0.9,76
1,0.9,95.5
1,0.9,152
2,0.9,0
2,0.9,76
2,0.9,95.5
2,0.9,152
3,0.9,0
3,0.9,76
3,0.9,95.5
3,0.9,152
4,0.9,0
4,0.9,76
4,0.9,95.5
4,0.9,152
5,0.9,0
5,0.9,76
5,0.9,95.5
5,0.9,152
6,0.9,0
6,0.9,76
6,0.9,95.5
6,0.9,152
7,0.9,0
7,0.9,76
7,0.9,95.5
7,0.9,152
8,0.9,0
8,0.9,76
8,0.9,95.5
8,0.9,152
9,0.9,0
9,0.9,76
9,0.9,95.5
9,0.9,152
10,0.9,0
10,0.9,76
10,0.9,95.5
10,0.9,152
11,0.9,0
11,0.9,76
11,0.9,95.5
11,0.9,152
12,0.9,0
12,0.9,76
12,0.9,95.5
12,0.9,152
13,0.9,0
13,0.9,76
13,0.9,95.5
13,0.9,152
14,0.9,0
14,0.9,76
14,0.9,95.5
14,0.9,152
15,0.9,0
15,0.9,76
15,0.9,95.5
15,0.9,152
16,0.9,0
16,0.9,76
16,0.9,95.5
16,0.9,152
17,0.9,0
17,0.9,76
17,0.9,95.5
17,0.9,152
18,0.9,0
18,0.9,76
18,0.9,95.5
18,0.9,152
19,0.9,0
19,0.9,76
19,0.9,95.5
19,0.9,152
20,0.9,0
20,0.9,76
20,0.9,95.5
20,0.9,152
21,0.9,0
21,0.9,76
21,0.9,95.5
21,0.9,152
22,0.9,0
22,0.9,76
22,0.9,95.5
22,0.9,152
23,0.9,0
23,0.9,76
23,0.9,95.5
23,0.9,152
24,0.9,0
24,0.9,76
24,0.9,95.5
24,0.9,152
25,0.9,0
25,0.9,76
25,0.9,95.5
25,0.9,152
26,0.9,0
26,0.9,76
26,0.9,95.5
26,0.9,152
27,0.9,0
27,0.9,76
27,0.9,95.5
27,0.9,152
28,0.9,0
28,0.9,76
28,0.9,95.5
28,0.9,152
29,0.9,0
29,0.9,76
29,0.9,95.5
29,0.9,152
30,0.9,0
30,0.9,76
30,0.9,95.5
30,0.9,152
31,0.9,0
31,0.9,76
31,0.9,95.5
31,0.9,152
32,0.9,0
32,0.9,76
32,0.9,95.5
32,0.9,152
33,0.9,0
33,0.9,76
33,0.9,95.5
33,0.9,152
34,0.9,0
34,0.9,76
34,0.9,95.5
34,0.9,152
35,0.9,0
35,0.9,76
35,0.9,95.5
35,0.9,152
36,0.9,0
36,0.9,76
36,0.9,95.5
36,0.9,152
37,0.9,0
37,0.9,76
37,0.9,95.5
37,0.9,152
38,0.9,0
38,0.9,76
38,0.9,95.5
38,0.9,152
39,0.9,0
39,0.9,76
39,0.9,95.5
39,0.9,152
40,0.9,0
40,0.9,76
40,0.9,95.5
40,0.9,152
41,0.9,0
41,0.9,76
41,0.9,95.5
41,0.9,152
42,0.9,0
42,0.9,76
42,0.9,95.5
42,0.9,152
43,0.9,0
43,0.9,76
43,0.9,95.5
43,0.9,152
44,0.9,0
44,0.9,76
44,0.9,95.5
44,0.9,152
45,0.9,0
45,0.9,76
45,0.9,95.5
45,0.9,152
