"simID","Us","tc"
1,0.469974846421023,0
1,0.718286953759313,76
1,0.9,95.5
1,0.9,152
2,0.466960229035494,0
2,0.715227115326601,76
2,0.9,95.5
2,0.9,152
3,0.30577138273451,0
3,0.517099418845408,76
3,0.765731491044573,95.5
3,0.9,152
4,0.463158432801154,0
4,0.711016213532481,76
4,0.9,95.5
4,0.9,152
5,0.410689627884899,0
5,0.651949435535218,76
5,0.878362221469352,95.5
5,0.9,152
6,0.367619205905931,0
6,0.599056904536397,76
6,0.838385032217361,95.5
6,0.9,152
7,0.316991107125124,0
7,0.532532713810024,76
7,0.7804362187336,95.5
7,0.9,152
8,0.425545670409099,0
8,0.669230648651933,76
8,0.890129346525868,95.5
8,0.9,152
9,0.460449236994986,0
9,0.708100719318809,76
9,0.9,95.5
9,0.9,152
10,0.512914082032484,0
10,0.762103310334526,76
10,0.9,95.5
10,0.9,152
11,0.489612297416362,0
11,0.73886031060512,76
11,0.9,95.5
11,0.9,152
12,0.447242528105774,0
12,0.693678818099525,76
12,0.9,95.5
12,0.9,152
13,0.359495776980389,0
13,0.588726647648733,76
13,0.829965443315792,95.5
13,0.9,152
14,0.514965476329306,0
14,0.764097653840671,76
14,0.9,95.5
14,0.9,152
15,0.464016818661852,0
15,0.711936910582466,76
15,0.9,95.5
15,0.9,152
16,0.380319145400277,0
16,0.615251905570245,76
16,0.85139407165633,95.5
16,0.9,152
17,0.514965476329306,0
17,0.764097653840671,76
17,0.9,95.5
17,0.9,152
18,0.243808926077498,0
18,0.427352574424331,76
18,0.670825994854408,95.5
18,0.9,152
19,0.515256427492808,0
19,0.764379833680649,76
19,0.9,95.5
19,0.9,152
20,0.456286169317992,0
20,0.703592124957081,76
20,0.9,95.5
20,0.9,152
21,0.456286169317992,0
21,0.703592124957081,76
21,0.9,95.5
21,0.9,152
22,0.343012579146845,0
22,0.567361798176108,76
22,0.811876538648805,95.5
22,0.9,152
23,0.358588225726959,0
23,0.587564389487022,76
23,0.829004824446986,95.5
23,0.9,152
24,0.515546857082863,0
24,0.76466133925574,76
24,0.9,95.5
24,0.9,152
25,0.439877781308263,0
25,0.685485390433817,76
25,0.9,95.5
25,0.9,152
26,0.313897435642713,0
26,0.528302240630645,76
26,0.776452669364071,95.5
26,0.9,152
27,0.436743255387967,0
27,0.681965361227839,76
27,0.898418421512501,95.5
27,0.9,152
28,0.395560057872818,0
28,0.633897802086667,76
28,0.865432875727618,95.5
28,0.9,152
29,0.47843585853352,0
29,0.727327714503026,76
29,0.9,95.5
29,0.9,152
30,0.513110572166823,0
30,0.762294699465428,76
30,0.9,95.5
30,0.9,152
31,0.481615350702776,0
31,0.730633887715891,76
31,0.9,95.5
31,0.9,152
32,0.334254359121404,0
32,0.555789664019834,76
32,0.801698637392348,95.5
32,0.9,152
33,0.490330240632373,0
33,0.739592614837805,76
33,0.9,95.5
33,0.9,152
34,0.513110572166823,0
34,0.762294699465428,76
34,0.9,95.5
34,0.9,152
35,0.329207273527691,0
35,0.549051642069435,76
35,0.795649414860082,95.5
35,0.9,152
36,0.379325392146183,0
36,0.614020054680921,76
36,0.850442125790202,95.5
36,0.9,152
37,0.421633991208099,0
37,0.664723084487071,76
37,0.887117627693904,95.5
37,0.9,152
38,0.498147291031949,0
38,0.747499482782209,76
38,0.9,95.5
38,0.9,152
39,0.329585061201534,0
