"simID","Us","tc"
1,0.365868534762191,0
1,0.596841749312271,76
1,0.836597529786895,95.5
1,0.9,152
2,0.393943282640232,0
2,0.631941779657911,76
2,0.863992774894911,95.5
2,0.9,152
3,0.277690511914589,0
3,0.477374085053646,76
3,0.725699585782566,95.5
3,0.9,152
4,0.433539798771981,0
4,0.678490001561855,76
4,0.89626980036159,95.5
4,0.9,152
5,0.36947075499994,0
5,0.601393062412423,76
5,0.840259563736677,95.5
5,0.9,152
6,0.519791518100807,0
6,0.768756374388702,76
6,0.9,95.5
6,0.9,152
7,0.466658982806085,0
7,0.71476165248144,76
7,0.9,95.5
7,0.9,152
8,0.458947842283517,0
8,0.706622625230653,76
8,0.9,95.5
8,0.9,152
9,0.514187044746726,0
9,0.763341859379717,76
9,0.9,95.5
9,0.9,152
10,0.344473374131735,0
10,0.56927706812861,76
10,0.813535292723803,95.5
10,0.9,152
