"simID","Fec 11-58","Fec 59-65","Fec 66-80","Fec 81-90","Fec 91-102","Fec 103-115","Fec 116+","Surv 11-58","Surv 59-65","Surv 66-80","Surv 81-90","Surv 91-102","Surv 103-115","Surv 116+"
1,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0206125,0.02195,0.0205375,0.024975,0.0231125,0.0231125
2,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0200571428571429,0.0213785714285714,0.02,0.0243071428571429,0.0224857142857143,0.0224857142857143
3,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0212166666666667,0.0226083333333333,0.0211333333333333,0.0256916666666667,0.023775,0.023775
4,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0213,0.02272,0.02124,0.02582,0.02388,0.02388
5,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0214,0.0228375,0.0213375,0.02595,0.024,0.024
6,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.01855,0.01977,0.01851,0.02248,0.02079,0.02079
7,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0256428571428571,0.0273428571428571,0.0255714285714286,0.0311142857142857,0.0287714285714286,0.0287714285714286
8,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0191142857142857,0.0203428571428571,0.0190428571428571,0.0231285714285714,0.0214285714285714,0.0214285714285714
9,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0219384615384615,0.0234,0.0218769230769231,0.0265923076923077,0.0246153846153846,0.0246153846153846
10,0,16774.65,37384.47,60804.72,81414.54,104834.79,149801.67,0.064,0.0215,0.0229285714285714,0.0214642857142857,0.0260714285714286,0.0241214285714286,0.0241214285714286
