"simID","Fec 11-60","Fec 61-80","Fec 81-100","Fec 101-120","Fec 121-140","Fec 141-160","Fec 161-180","Fec 181-211","Fec 212+","Surv 11-60","Surv 61-80","Surv 81-100","Surv 101-120","Surv 121-140","Surv 141-160","Surv 161-180","Surv 181-211","Surv 212+"
1,0,0,25750,55750,85750,115750,145750,184000,236500,0.266,0.0245692307692308,0.0226538461538462,0.0257384615384615,0.0237,0.0237,0.0237,0.0237,0.0237
2,0,0,25750,55750,85750,115750,145750,184000,236500,0.266,0.0217133333333333,0.0200066666666667,0.0227333333333333,0.0209333333333333,0.0209333333333333,0.0209333333333333,0.0209333333333333,0.0209333333333333
3,0,0,25750,55750,85750,115750,145750,184000,236500,0.266,0.030425,0.028025,0.031875,0.0293375,0.0293375,0.0293375,0.0293375,0.0293375
4,0,0,12875,27875,42875,57875,72875,92000,118250,0.266,0.0237,0.02185,0.02485,0.022875,0.022875,0.022875,0.022875,0.022875
5,0,0,38625,83625,128625,173625,218625,276000,354750,0.266,0.0270571428571429,0.0249285714285714,0.0283142857142857,0.0260714285714286,0.0260714285714286,0.0260714285714286,0.0260714285714286,0.0260714285714286
6,0,0,12875,27875,42875,57875,72875,92000,118250,0.266,0.02225,0.0205,0.0232785714285714,0.0214285714285714,0.0214285714285714,0.0214285714285714,0.0214285714285714,0.0214285714285714
7,0,0,12875,27875,42875,57875,72875,92000,118250,0.266,0.0231285714285714,0.0213,0.0242142857142857,0.0222857142857143,0.0222857142857143,0.0222857142857143,0.0222857142857143,0.0222857142857143
8,0,0,12875,27875,42875,57875,72875,92000,118250,0.266,0.0266818181818182,0.0246,0.0279545454545455,0.0257272727272727,0.0257272727272727,0.0257272727272727,0.0257272727272727,0.0257272727272727
9,0,0,12875,27875,42875,57875,72875,92000,118250,0.266,0.0271307692307692,0.025,0.0284230769230769,0.0261615384615385,0.0261615384615385,0.0261615384615385,0.0261615384615385,0.0261615384615385
10,0,0,25750,55750,85750,115750,145750,184000,236500,0.266,0.0337888888888889,0.0311444444444444,0.0353888888888889,0.0325777777777778,0.0325777777777778,0.0325777777777778,0.0325777777777778,0.0325777777777778
