"simID","Us","tc"
1,0.819408438167461,0
1,0.9,76
1,0.9,90
1,0.9,152
2,0.81177024411333,0
2,0.9,76
2,0.9,90
2,0.9,152
3,0.831904647673318,0
3,0.9,76
3,0.9,90
3,0.9,152
4,0.769877181130039,0
4,0.9,76
4,0.9,90
4,0.9,152
5,0.847199154232684,0
5,0.9,76
5,0.9,90
5,0.9,152
6,0.764947283104835,0
6,0.9,76
6,0.9,90
6,0.9,152
7,0.767982857913316,0
7,0.9,76
7,0.9,90
7,0.9,152
8,0.778856595826636,0
8,0.9,76
8,0.9,90
8,0.9,152
9,0.780092395828709,0
9,0.9,76
9,0.9,90
9,0.9,152
10,0.83771950559786,0
10,0.9,76
10,0.9,90
10,0.9,152
