"simID","Fec 11-60","Fec 61-80","Fec 81-100","Fec 101-120","Fec 121-140","Fec 141-160","Fec 161-180","Fec 181-211","Fec 212+","Surv 11-60","Surv 61-80","Surv 81-100","Surv 101-120","Surv 121-140","Surv 141-160","Surv 161-180","Surv 181-211","Surv 212+"
1,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.56255,0.56255,0.56255,0.56255,0.56255,0.559135714285714,0.564257142857143,0.56425
2,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.56185,0.56185,0.56185,0.56185,0.56185,0.558442857142857,0.563564285714286,0.563542857142857
3,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.499671428571429,0.499671428571429,0.499671428571429,0.499671428571429,0.499671428571429,0.496657142857143,0.501185714285714,0.501185714285714
4,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.525225,0.525225,0.525225,0.525225,0.525225,0.5220375,0.5268125,0.5268125
5,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.559615384615385,0.559615384615385,0.559615384615385,0.559615384615385,0.559615384615385,0.556223076923077,0.561323076923077,0.5613
6,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5212625,0.5212625,0.5212625,0.5212625,0.5212625,0.5181,0.52285,0.5228375
7,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.564086666666667,0.564086666666667,0.564086666666667,0.564086666666667,0.564086666666667,0.560653333333333,0.565793333333333,0.565786666666667
8,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.505328571428571,0.505328571428571,0.505328571428571,0.505328571428571,0.505328571428571,0.502271428571429,0.506842857142857,0.506842857142857
9,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.563064285714286,0.563064285714286,0.563064285714286,0.563064285714286,0.563064285714286,0.55965,0.564771428571429,0.564764285714286
10,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.556833333333333,0.556833333333333,0.556833333333333,0.556833333333333,0.556833333333333,0.553458333333333,0.558533333333333,0.558525
11,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.558823076923077,0.558823076923077,0.558823076923077,0.558823076923077,0.558823076923077,0.555438461538462,0.560530769230769,0.560515384615385
12,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5209375,0.5209375,0.5209375,0.5209375,0.5209375,0.5177875,0.522525,0.5225125
13,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5194,0.5194,0.5194,0.5194,0.5194,0.5162375,0.5209625,0.52095
14,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.555016666666667,0.555016666666667,0.555016666666667,0.555016666666667,0.555016666666667,0.55165,0.556708333333333,0.5567
15,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.550109090909091,0.550109090909091,0.550109090909091,0.550109090909091,0.550109090909091,0.546772727272727,0.551790909090909,0.551763636363636
16,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.565173333333333,0.565173333333333,0.565173333333333,0.565173333333333,0.565173333333333,0.56174,0.566886666666667,0.56688
17,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5250125,0.5250125,0.5250125,0.5250125,0.5250125,0.521825,0.5266125,0.5265875
18,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.54537,0.54537,0.54537,0.54537,0.54537,0.54207,0.54704,0.54701
19,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.551127272727273,0.551127272727273,0.551127272727273,0.551127272727273,0.551127272727273,0.547790909090909,0.5528,0.552790909090909
20,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.536388888888889,0.536388888888889,0.536388888888889,0.536388888888889,0.536388888888889,0.533133333333333,0.538022222222222,0.538
21,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.550827272727273,0.550827272727273,0.550827272727273,0.550827272727273,0.550827272727273,0.547481818181818,0.5525,0.552481818181818
22,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.524025,0.524025,0.524025,0.524025,0.524025,0.5208375,0.5256125,0.5256125
23,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.564566666666667,0.564566666666667,0.564566666666667,0.564566666666667,0.564566666666667,0.561133333333333,0.56628,0.566273333333333
24,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.563353333333333,0.563353333333333,0.563353333333333,0.563353333333333,0.563353333333333,0.559933333333333,0.565066666666667,0.565066666666667
25,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.507585714285714,0.507585714285714,0.507585714285714,0.507585714285714,0.507585714285714,0.504514285714286,0.509128571428571,0.509114285714286
26,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.54358,0.54358,0.54358,0.54358,0.54358,0.54029,0.54524,0.54521
27,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.556408333333333,0.556408333333333,0.556408333333333,0.556408333333333,0.556408333333333,0.553025,0.5581,0.558083333333333
28,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.556383333333333,0.556383333333333,0.556383333333333,0.556383333333333,0.556383333333333,0.552991666666667,0.558066666666667,0.55805
29,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.551018181818182,0.551018181818182,0.551018181818182,0.551018181818182,0.551018181818182,0.547681818181818,0.552690909090909,0.552681818181818
30,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.54538,0.54538,0.54538,0.54538,0.54538,0.54207,0.54704,0.54701
31,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.507371428571429,0.507371428571429,0.507371428571429,0.507371428571429,0.507371428571429,0.504314285714286,0.508928571428571,0.5089
32,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.516675,0.516675,0.516675,0.516675,0.516675,0.5135375,0.51825,0.5182375
33,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.5583,0.5583,0.5583,0.5583,0.5583,0.554907692307692,0.56,0.559984615384615
34,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.556733333333333,0.556733333333333,0.556733333333333,0.556733333333333,0.556733333333333,0.553358333333333,0.558433333333333,0.558408333333333
35,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.54498,0.54498,0.54498,0.54498,0.54498,0.54167,0.54663,0.54661
36,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.5561,0.5561,0.5561,0.5561,0.5561,0.552733333333333,0.557791666666667,0.557783333333333
37,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.558653846153846,0.558653846153846,0.558653846153846,0.558653846153846,0.558653846153846,0.555253846153846,0.560346153846154,0.560330769230769
38,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.559923076923077,0.559923076923077,0.559923076923077,0.559923076923077,0.559923076923077,0.556523076923077,0.561615384615385,0.561607692307692
39,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.563073333333333,0.563073333333333,0.563073333333333,0.563073333333333,0.563073333333333,0.55966,0.564786666666667,0.56478
40,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.558292307692308,0.558292307692308,0.558292307692308,0.558292307692308,0.558292307692308,0.554907692307692,0.559984615384615,0.559976923076923
41,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.561071428571429,0.561071428571429,0.561071428571429,0.561071428571429,0.561071428571429,0.557657142857143,0.562764285714286,0.562764285714286
42,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.549709090909091,0.549709090909091,0.549709090909091,0.549709090909091,0.549709090909091,0.546372727272727,0.551372727272727,0.551363636363636
43,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.54368,0.54368,0.54368,0.54368,0.54368,0.54038,0.54533,0.54533
44,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.54143,0.54143,0.54143,0.54143,0.54143,0.53813,0.54307,0.54305
45,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.558161538461538,0.558161538461538,0.558161538461538,0.558161538461538,0.558161538461538,0.554776923076923,0.559861538461538,0.559853846153846
46,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.535133333333333,0.535133333333333,0.535133333333333,0.535133333333333,0.535133333333333,0.531877777777778,0.536766666666667,0.536733333333333
47,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.4992,0.4992,0.4992,0.4992,0.4992,0.496185714285714,0.500714285714286,0.500714285714286
48,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.532522222222222,0.532522222222222,0.532522222222222,0.532522222222222,0.532522222222222,0.529288888888889,0.534122222222222,0.534122222222222
49,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.520525,0.520525,0.520525,0.520525,0.520525,0.5173625,0.5221125,0.522075
50,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.534744444444444,0.534744444444444,0.534744444444444,0.534744444444444,0.534744444444444,0.5315,0.536355555555556,0.536355555555556
51,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.553475,0.553475,0.553475,0.553475,0.553475,0.550108333333333,0.55515,0.555141666666667
52,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.561728571428571,0.561728571428571,0.561728571428571,0.561728571428571,0.561728571428571,0.558314285714286,0.563435714285714,0.563428571428571
53,0,0,0,357943.75,435693.75,513443.75,591193.75,882756.25,1018818.75,0.0001,0.557338461538462,0.557338461538462,0.557338461538462,0.557338461538462,0.557338461538462,0.553961538461538,0.559038461538461,0.559023076923077
54,0,0,0,715887.5,871387.5,1026887.5,1182387.5,1765512.5,2037637.5,0.0001,0.548281818181818,0.548281818181818,0.548281818181818,0.548281818181818,0.548281818181818,0.544945454545455,0.549945454545455,0.549927272727273
55,0,0,0,1073831.25,1307081.25,1540331.25,1773581.25,2648268.75,3056456.25,0.0001,0.559376923076923,0.559376923076923,0.559376923076923,0.559376923076923,0.559376923076923,0.555976923076923,0.561076923076923,0.561061538461538
